Name;"METEO - Air Temperature"
AKS;METEO:197:TT
Einheit;°C
"24.2402.26 23:00";6.3
"25.2502.26 00:00";5.9
"25.2502.26 01:00";5.6
"25.2502.26 02:00";4.5
"25.2502.26 03:00";4.2
"25.2502.26 04:00";4.0
"25.2502.26 05:00";6.6
"25.2502.26 06:00";6.1
"25.2502.26 07:00";5.5
"25.2502.26 08:00";6.2
"25.2502.26 09:00";6.5
"25.2502.26 10:00";7.0
"25.2502.26 11:00";8.3
"25.2502.26 12:00";9.7
"25.2502.26 13:00";11.1
"25.2502.26 14:00";12.3
"25.2502.26 15:00";13.3
"25.2502.26 16:00";13.8
"25.2502.26 17:00";14.3
"25.2502.26 18:00";12.6
"25.2502.26 19:00";10.8
"25.2502.26 20:00";7.9
"25.2502.26 21:00";7.2
"25.2502.26 22:00";6.6
"25.2502.26 23:00";5.3
"26.2602.26 00:00";5.0
"26.2602.26 01:00";4.6
"26.2602.26 02:00";4.2
"26.2602.26 03:00";3.9
"26.2602.26 04:00";3.7
"26.2602.26 05:00";1.8
"26.2602.26 06:00";1.9
"26.2602.26 07:00";2.1
"26.2602.26 08:00";1.9
"26.2602.26 09:00";3.2
"26.2602.26 10:00";5.2
"26.2602.26 11:00";8.4
"26.2602.26 12:00";10.3
"26.2602.26 13:00";11.9
"26.2602.26 14:00";16.0
"26.2602.26 15:00";16.9
"26.2602.26 16:00";17.0
"26.2602.26 17:00";17.1
"26.2602.26 18:00";15.4
"26.2602.26 19:00";13.3
"26.2602.26 20:00";12.6
"26.2602.26 21:00";11.5
"26.2602.26 22:00";10.5
"26.2602.26 23:00";8.0
"27.2702.26 00:00";7.6
"27.2702.26 01:00";7.0
"27.2702.26 02:00";4.6
"27.2702.26 03:00";4.2
"27.2702.26 04:00";3.9
"27.2702.26 05:00";2.7
"27.2702.26 06:00";2.6
"27.2702.26 07:00";2.6
"27.2702.26 08:00";2.5
"27.2702.26 09:00";3.7
"27.2702.26 10:00";6.0
"27.2702.26 11:00";11.3
"27.2702.26 12:00";13.2
"27.2702.26 13:00";14.8
"27.2702.26 14:00";17.3
"27.2702.26 15:00";18.0
"27.2702.26 16:00";18.2
